interface_mac_table,vlan,mac address,address,description,interface
Po20,514,a4dc.be1e.4aae, , , 
Po37,701,001b.1700.0131, , , 
Po3,504,3440.b5a1.a198, , , 
Po3,504,3440.b5a1.a19a, , , 
Gi2/3/45,506,f415.6366.4206, , , 
Po18,504,0050.569f.0fce, , , 
Po18,508,0050.569f.3c17, , , 
Po18,506,0050.569f.255b, , , 
Po18,504,6cae.8b2c.d8b8, , , 
Po18,508,0050.569f.787d, , , 
Po18,506,0050.569f.5255, , , 
Po18,506,0050.569f.435c, , , 
Po18,508,0050.569f.5a61, , , 
Po18,510,0050.569f.0793, , , 
Po12,507,b40c.25e1.0011, , , 
Po18,506,0050.569f.0778, , , 
Po18,506,0050.569f.5266, , , 
Po18,505,00c0.dd26.efb4, , , 
Po18,510,0050.569f.25b7, , , 
Po18,510,0050.569f.16bc, , , 
Po18,507,0050.569f.4709, , , 
Gi1/4/15,510,085b.0e0c.5e12, , , 
Router,203,64a0.e7b3.d800, , , 
Po18,503,0050.569f.7580, , , 
Po35,1100,001b.1700.0132, , , 
Po39,501,0050.56bf.2489, , , 
Po18,506,0050.569f.709c, , , 
Po18,508,0050.569f.78a0, , , 
Po18,506,0050.569f.70a6, , , 
Po18,510,0050.569f.2563, , , 
Po18,510,0050.569f.526d, , , 
Po18,508,0050.569f.2d9d, , , 
Po18,514,0050.569f.0e55, , , 
Po33,398,0050.569f.5a8c, , , 
Po3,504,000e.1115.ae5d, , , 
Po18,508,0050.569f.69e6, , , 
Po18,507,0050.569f.47a5, , , 
Po37,601,001b.1700.0131, , , 
Po18,510,0050.569f.3421, , , 
Gi1/3/13,510,0090.fb43.f589, , , 
Po18,508,0050.569f.4bde, , , 
Po18,506,0050.569f.25ed, , , 
Po18,510,0050.569f.3439, , , 
Po18,508,0050.569f.0fd9, , , 
Po3,504,6cae.8b2b.8b59, , , 
Po18,506,0050.569f.70fa, , , 
Po18,145,0050.569f.774a, , , 
Po39,911,0050.5669.370a, , , 
Po18,506,0050.569f.2272, , , 
Router,7,64a0.e7b3.d800, , , 
Po39,911,0050.56bf.7a11, , , 
Po33,511,0050.569f.37e4, , , 
Po18,510,0050.569f.5580, , , 
Gi1/3/4,504,0090.fb43.eb06, , , 
Po18,510,0050.569f.3399, , , 
Po39,911,0050.56bf.7a76, , , 
Po18,506,0050.569f.2223, , , 
Po18,514,0050.569f.18ad, , , 
Po18,503,0050.569f.1429, , , 
Po18,510,0050.569f.33e6, , , 
Po18,514,0050.569f.2bb1, , , 
Po18,508,0050.569f.0802, , , 
Router,561,64a0.e7b3.d800, , , 
Po18,514,0050.569f.4da9, , , 
Router,N/A,64a0.e7b3.d800, , , 
Po18,506,0050.569f.771e, , , 
Gi1/3/30,511,f415.6365.4205, , , 
Po18,504,0050.569f.5dfb, , , 
Po3,510,000b.abab.174c, , , 
Po39,650,0050.56bf.0f25, , , 
Po18,510,0050.569f.55d6, , , 
Router,510,64a0.e7b3.d800, , , 
Po18,510,0050.569f.22c7, , , 
Po18,514,0050.569f.186f, , , 
Po18,504,0050.569f.5d1a, , , 
Po13,1101,001b.1700.0230, , , 
Router,145,64a0.e7b3.d800, , , 
Po18,507,0050.569f.739b, , , 
Po18,508,0050.569f.08fb, , , 
Po18,510,0050.569f.7700, , , 
Router,506,64a0.e7b3.d800, , , 
Po18,510,0050.569f.0001, , , 
Po18,506,0050.569f.33d6, , , 
Po18,160,0050.569f.6769, , , 
Po18,510,0050.569f.446e, , , 
Po18,202,0050.569f.128e, , , 
Po18,503,0050.569f.50b0, , , 
Po18,507,0050.569f.51c6, , , 
Po18,514,0050.569f.2b24, , , 
Router,3,64a0.e7b3.d800, , , 
Po37,501,001b.1700.0131, , , 
Po18,514,0050.569f.5c19, , , 
Po18,514,0050.569f.3a1d, , , 
Po18,508,0050.569f.2aa2, , , 
Po18,508,0050.569f.08a8, , , 
Po18,510,0050.569f.23a6, , , 
Po18,510,0050.569f.10a8, , , 
Po3,504,3440.b5df.212a, , , 
Router,160,64a0.e7b3.d800, , , 
Po39,549,0050.56bf.4ae8, , , 
Po18,510,0050.569f.54a4, , , 
Po18,503,0050.569f.5170, , , 
Po18,508,0050.569f.2b51, , , 
